iter	RMSE
0	13433.72377
1	12912.02529
2	12367.06893
3	11896.16386
4	11425.15199
5	10987.67193
6	10555.28488
7	10122.22785
8	9721.924221
9	9356.147438
10	8978.796831
11	8664.331195
12	8335.519898
13	8005.346614
14	7705.912191
15	7431.368293
16	7168.52066
17	6887.047827
18	6637.374108
19	6414.541225
20	6183.687043
21	5955.615123
22	5718.224054
23	5519.489413
24	5306.063276
25	5097.456184
26	4916.781368
27	4734.086389
28	4571.247425
29	4421.179472
30	4252.871494
31	4111.784955
32	3956.497169
33	3816.411559
34	3685.099152
35	3548.482588
36	3418.755461
37	3298.581932
38	3188.141204
39	3076.092337
40	2964.321469
41	2870.091184
42	2782.519234
43	2682.511863
44	2588.359298
45	2496.418371
46	2404.570322
47	2322.495962
48	2241.03805
49	2164.458043
50	2093.104545
51	2027.578399
52	1960.196168
53	1895.653744
54	1836.47587
55	1779.305534
56	1719.774373
57	1657.407168
58	1608.136123
59	1557.097494
60	1505.805941
61	1453.103065
62	1413.222686
63	1369.035724
64	1329.898031
65	1291.601886
66	1256.385423
67	1217.373728
68	1181.113323
69	1145.788701
70	1117.149156
71	1085.392122
72	1057.851565
73	1027.460461
74	998.3624889
75	972.4322885
76	952.1781961
77	923.2605603
78	898.4342595
79	874.2384223
80	851.5667555
81	829.6287374
82	808.9739318
83	792.3859218
84	774.0700383
85	755.8791178
86	739.8762014
87	724.2640873
88	707.2047529
89	693.9039196
90	681.0716768
91	668.5119384
92	657.5907484
93	646.2032814
94	634.1361601
95	623.0502674
96	614.3367265
97	603.3792894
98	594.6593145
99	584.6916754
100	576.4575646
101	569.0026323
102	560.7260465
103	554.0469148
104	547.9990422
105	541.5548889
106	535.5629247
107	529.9578517
108	524.3525571
109	518.6636285
110	513.1138684
111	508.3409211
112	503.0438717
113	497.0398592
114	492.4073274
115	487.2403946
116	483.7943403
117	480.0642268
118	476.5502597
119	472.674347
120	468.7713635
121	465.5327875
122	462.1143742
123	460.2882332
124	456.8669826
125	453.2165739
126	450.011409
127	447.2815738
128	444.8845189
129	443.2332603
130	440.2009758
131	437.2684076
132	435.2925216
133	432.5923813
134	429.935636
135	427.3295468
136	425.4558263
137	423.8288681
138	421.5682356
139	419.8518581
140	418.4680942
141	416.8536556
142	414.9518282
143	412.6540735
144	411.3618788
145	410.1516769
146	408.7084769
147	407.2685338
148	406.0122074
149	404.8579934
150	403.6875805
151	402.4723805
152	400.6782191
153	399.7541812
154	398.1686102
155	396.5520324
156	395.3265874
157	393.315189
158	392.5014774
159	392.069248
160	391.019378
161	390.2246458
162	388.237968
163	387.15195
164	384.7786088
165	383.0282958
166	382.6389638
167	381.8420105
168	380.855685
169	379.4427211
170	377.5667598
171	376.6042077
172	375.690399
173	374.468931
174	373.1310474
175	372.6776606
176	371.589801
177	370.1286391
178	368.6242306
179	368.1689785
180	367.565006
181	367.358352
182	364.8338067
183	363.5415264
184	362.8647761
185	361.9706513
186	361.0100778
187	359.7022311
188	358.0954029
189	357.6495411
190	356.8828732
191	356.4881954
192	355.4352508
193	353.848765
194	352.2637843
195	351.5901051
196	350.6286006
197	349.9945333
198	348.9399733
199	348.438045
200	347.6630505
201	346.2980501
202	346.1520369
203	345.7992519
204	345.282049
205	344.5643904
206	343.6831266
207	341.2358658
208	339.4956297
209	338.9378412
210	338.4168241
211	337.3647569
212	336.3353176
213	336.2086615
214	335.9226538
215	335.5046416
216	334.9741422
217	334.4179023
218	333.4599616
219	333.1483757
220	332.7728644
221	330.6335486
222	329.1293427
223	328.8747166
224	328.4836386
225	326.6918648
226	326.4885217
227	326.2125553
228	325.9024626
229	325.4577534
230	324.7354133
231	323.819169
232	323.1266584
233	322.7254479
234	322.1774084
235	321.499338
236	320.423577
237	318.7665269
238	317.7845932
239	316.3845525
240	315.5837821
241	314.0411241
242	312.9855264
243	312.7346504
244	312.1818416
245	311.3058635
246	310.9177142
247	309.3868842
248	308.2638715
249	307.3848991
250	306.5944013
251	305.1346164
252	303.63461
253	303.3104732
254	301.9370635
255	299.8718597
256	299.2574711
257	298.4901208
258	298.013898
259	296.7978815
260	296.4011154
261	295.4395154
262	294.2840058
263	293.1426982
264	292.395557
265	292.1421282
266	291.9790871
267	290.3138645
268	289.1090388
269	287.6825666
270	285.60179
271	284.1344236
272	283.2602169
273	282.4536755
274	281.3504122
275	280.9305496
276	280.6419009
277	280.4755038
278	279.5968885
279	278.2844839
280	277.5365224
281	276.5197008
282	275.5879868
283	274.5351601
284	273.8743846
285	273.6838115
286	272.9331122
287	272.5198481
288	271.8137116
289	271.6329438
290	270.7756546
291	270.3929244
292	269.5737779
293	267.6538542
294	266.9625361
295	266.3387169
296	265.8500943
297	264.1453693
298	263.3783513
299	262.6597886
300	261.2770788
301	260.8014508
302	260.0933473
303	259.9207856
304	259.325554
305	258.7197607
306	258.1292471
307	257.9294727
308	257.1512015
309	256.6479453
310	256.1454211
311	255.8392923
312	255.5015465
313	255.22149
314	254.6992148
315	254.37965
316	252.7966977
317	252.1127194
318	251.6036563
319	251.4405734
320	250.375632
321	248.914232
322	248.2940406
323	247.7441929
324	246.8641058
325	246.3534512
326	246.0428852
327	245.5867356
328	244.2042395
329	243.7731446
330	242.6769093
331	241.6143913
332	241.1233876
333	240.9697064
334	240.3487746
335	239.7675482
336	239.5328597
337	239.0061284
338	238.6676309
339	238.3909836
340	238.1608736
341	237.2054899
342	236.0573091
343	234.9868872
344	234.5443126
345	234.0027302
346	233.5159512
347	232.5386478
348	232.2283855
349	231.3085954
350	231.2419471
351	230.7529701
352	229.9568344
353	229.6196494
354	228.7186063
355	228.0814256
356	227.8790622
357	227.3383304
358	226.6093076
359	226.1849071
360	226.0651051
361	225.8709239
362	225.7310364
363	225.4636027
364	225.3977351
365	225.2804854
366	225.2130667
367	224.9093405
368	224.4347039
369	223.5658762
370	223.0817193
371	222.9781893
372	222.6518261
373	222.4148017
374	221.893091
375	221.7735491
376	221.669977
377	221.1642926
378	221.0421583
379	220.2408156
380	220.1494735
381	220.0123969
382	219.6609156
383	219.1061072
384	219.0004188
385	218.3278055
386	218.1323689
387	217.8706357
388	217.7657382
389	217.6340618
390	216.7939581
391	216.618793
392	216.237948
393	216.0665654
394	215.8959439
395	215.7363661
396	215.574073
397	215.267742
398	215.0608833
399	214.9028676
400	214.8080234
401	214.7486909
402	214.6682932
403	214.5788679
404	214.1652298
405	213.5888371
406	213.1965022
407	212.9754777
408	212.6867509
409	212.4124234
410	211.9613532
411	211.7317081
412	211.0210564
413	210.7209743
414	209.8514359
415	209.4490895
416	209.0205086
417	208.6891406
418	208.5570843
419	208.0337498
420	207.6131285
421	207.3492991
422	207.230818
423	207.02638
424	206.7514313
425	206.1015772
426	206.008494
427	205.7896256
428	205.2328114
429	204.8250498
430	204.775966
431	204.5097637
432	204.0675847
433	203.4220725
434	202.949306
435	202.6850845
436	202.3894355
437	202.0477502
438	201.3978184
439	201.0840152
440	200.9965627
441	200.6705593
442	200.1480224
443	199.8704158
444	199.5650244
445	199.056881
446	198.809065
447	198.5493548
448	197.9311358
449	197.6139092
450	197.3140948
451	196.9752057
452	196.60166
453	196.0869483
454	195.7408958
455	195.4546646
456	195.1573834
457	194.9055064
458	194.4677536
459	194.2396924
460	193.8953714
461	193.5489964
462	193.4701668
463	193.1944621
464	192.8609153
465	192.4439103
466	192.0822698
467	191.7948191
468	191.3261463
469	190.8985451
470	190.557879
471	189.9837812
472	189.6144612
473	189.3033816
474	188.8069188
475	188.603948
476	188.1621326
477	188.009189
478	187.7866529
479	187.669944
480	187.2868655
481	186.9913625
482	186.6375506
483	186.2809692
484	185.9168587
485	185.7047925
486	185.5555478
487	185.1097214
488	184.8442987
489	184.6049115
490	184.0957932
491	183.4022287
